concept_id,subject,subject_concept
165,과학(초·중),시공간과 운동
166,과학(초·중),힘
167,과학(초·중),역학적 에너지
168,과학(초·중),전기
169,과학(초·중),자기
170,과학(초·중),열평형
171,과학(초·중),역역학 법칙
172,과학(초·중),에너지 전환
173,과학(초·중),파동의 종류
174,과학(초·중),파동의 성질
175,과학(초·중),물질의 구성 입자
176,과학(초·중),물리적 성질과 화학적 성질
177,과학(초·중),물질의 상태
178,과학(초·중),물질의 상태 변화
179,과학(초·중),화학 반응
180,과학(초·중),에너지 출입
181,과학(초·중),생명공학 기술
182,과학(초·중),생명의 구성 단위
183,과학(초·중),동물의 구조와 기능
184,과학(초·중),식물의 구조와 기능
185,과학(초·중),광합성과 호흡
186,과학(초·중),자극과 반응
187,과학(초·중),생식
188,과학(초·중),유전
189,과학(초·중),진화와 다양성
190,과학(초·중),생태계와 상호 작용
191,과학(초·중),지구계와 역장
192,과학(초·중),판구조론
193,과학(초·중),지구 구성 물질
194,과학(초·중),지구의 역사
195,과학(초·중),해수의 성질과 순환
196,과학(초·중),대기의 운동과 순환
197,과학(초·중),태양계의 구성과 운동
198,과학(초·중),별의 특성과 진화
199,과학(초·중),우주의 구조와 진화
