mission_id,program_id,mission_category,mission_name
1,1,계획세우기,기획활동 안건 1개 내기
5,2,계획세우기,기획회의를 통한 아이디어 1건 내기
6,2,계획세우기,정기회의를 통한 아이디어 1건 내기
283,52,계획세우기,기획 주제 선정
284,52,계획세우기,"메뉴점검, 업무분장 확인, 동선파악 등"
286,53,계획세우기,기획활동 운영
293,54,계획세우기,예산심의 질문/기록/의사결정/제안
295,54,계획세우기,토론주제 학습/의사결정/제안
296,54,계획세우기,각 위원회 별 회의하기
298,54,계획세우기,TF팀 별 회의하기
424,76,계획세우기,개인별 역할분장 수행(1)
425,76,계획세우기,개인별 역할분장 수행(2)
473,86,계획세우기,학습 목표를 스스로 수립한다
475,86,계획세우기,개인별 목표 수립
509,91,계획세우기,프로젝트 선정 및 주제선정
536,95,계획세우기,1개이상 역할 배분
794,144,계획세우기,익월 활동일정 수립
804,146,계획세우기,주제에 맞는 활동 아이디어 기획 1개씩 발표 및 피드백하기
857,159,계획세우기,기획운영 방향?주제에 대한 의견 1회 이상 제안
877,162,계획세우기,가을 버스킹 발표 순서 결정하기
928,172,계획세우기,영상 제작 회의하기
1073,33,계획세우기,메타버스 행사 이벤트 회의하기
1074,33,계획세우기,수험생격려 이벤트 회의하기
1135,54,계획세우기,팀 별로 정책 회의하기
1255,94,계획세우기,지난 회의 검토하기
1411,146,계획세우기,일정과 검토사항 안내
1413,146,계획세우기,차후 일정 계획 및 마무리
1486,171,계획세우기,위원회 운영회의하기
1487,171,계획세우기,문화의집 플랫폼 조성계획 세우기
1488,171,계획세우기,청소년 제안대회 계획 회의하기
1696,194,계획세우기,임시미션 1
1697,194,계획세우기,임시미션 2
1698,194,계획세우기,임시미션 3
1699,194,계획세우기,임시미션 4
1700,194,계획세우기,임시미션 5
1871,215,계획세우기,1교시 준비
1875,215,계획세우기,2교시 준비
1876,215,계획세우기,2교시 도입
1877,215,계획세우기,2교시 전개
1878,215,계획세우기,2교시 정리
1887,217,계획세우기,1교시 준비
1888,217,계획세우기,1교시 도입
1889,217,계획세우기,1교시 전개
1890,217,계획세우기,1교시 정리
1891,217,계획세우기,2교시 준비
1892,217,계획세우기,2교시 도입
1893,217,계획세우기,2교시 전개
1894,217,계획세우기,2교시 정리
2081,94,계획세우기,나눔 사업 품목 결정 및 11월 일정 나누기
2124,241,계획세우기,모형 제작 계획 세우기
2295,241,계획세우기,미래교실 발표 계획세우기
2338,33,계획세우기,상품준비 및 경품전달 회의하기
2339,33,계획세우기,행사준비 역할분담하기
2794,94,계획세우기,차후 활동 계획과 마무리
2954,49,계획세우기,참가자 모집 관련 안건 회의하기
2955,49,계획세우기,제로웨이스트 관련 안건 회의하기
3581,55,계획세우기,간담회 후 결정사항에 대해 앞으로 시행할것  정리
3621,52,계획세우기,자체 회의하기
3719,177,계획세우기,컨텐츠 기획하기
3720,177,계획세우기,주제 정하기
3760,54,계획세우기,TF팀 회의하기
3781,53,계획세우기,회의1
3784,53,계획세우기,회의2
3796,320,계획세우기,엠봇맵 이벤트 기획
3815,35,계획세우기,12월 활동 계획 세우기
3932,171,계획세우기,일정 및 세부내용 수립하기
4029,54,계획세우기,팀별로 특별위원회 회의하기
4031,54,계획세우기,TF팀 회의하기(12/11)
4048,102,계획세우기,뉴스영상 제작 역할 정하기
