mission_id,program_id,mission_category,mission_name
285,52,도와주기,개인별 재능나눔활동
287,53,도와주기,정기공연 준비
573,99,도와주기,책상 정리정돈 및 설문지 작성하기
869,161,도와주기,활동 준비물 세팅하기
930,172,도와주기,정리하기
972,177,도와주기,코딩교육 마무리 및 교육도구 정리정돈
982,3,도와주기,청소년기획봉사활동 운영
983,3,도와주기,발표회 준비하기
1072,33,도와주기,기획회의 준비하기
1158,61,도와주기,자리 정리 및 마무리 하기
1273,100,도와주기,인사 및 준비
2153,240,도와주기,수업 준비와 정리하기
2178,240,도와주기,수업 마무리
2241,240,도와주기,정리하기
2294,241,도와주기,활동 정리하기
2332,52,도와주기,정리하기
2340,33,도와주기,마무리 및 정리하기
2496,272,도와주기,마무리 정리 함께하기
2499,273,도와주기,활동 마무리 및 정리
2503,274,도와주기,마무리
2689,297,도와주기,독서 후 정리
2989,129,도와주기,실험 정리하기
3387,177,도와주기,뒷정리하기
3399,119,도와주기,부스 운영에 적극적으로 참여하기
3403,119,도와주기,마무리 및 정리하기
3406,160,도와주기,정리하기
3578,55,도와주기,간담회 준비
3619,52,도와주기,카페 운영 마감 정리
3622,52,도와주기,마무리 및 정리하기
3663,132,도와주기,정리하기
3826,35,도와주기,태왁 만들기 정리 및 돌하르방 오르골 만들기 준비
3933,52,도와주기,운영준비1
3934,52,도와주기,운영준비2
3935,52,도와주기,운영준비3
3936,52,도와주기,운영준비4
3956,87,도와주기,염색 후 책상 정리하기
4034,52,도와주기,발표회 준비하기
4041,52,도와주기,음료만들기 및 재능기부
4042,52,도와주기,카페 정리하기
