mission_id,program_id,mission_category,mission_name
12,3,의견나누기,분야별 봉사활동 안건 1건 제안하기
131,27,의견나누기,독서한 내용을 토대로 질문 만들기
157,30,의견나누기,개별 카피곡에 대해 토론하기
183,34,의견나누기,기획주제에 맞는 활동제안 1개 이상 제안
234,42,의견나누기,라포형성과 의사소통에 대해서 이야기 나누기
235,42,의견나누기,영상보고 의견나누기
273,50,의견나누기,동화 속 상황과 등장인물에 대해 이야기나누기
281,52,의견나누기,기획운영 방향 주제 도출 1건 내어보기
282,52,의견나누기,개인별 아이디어 의견제시
412,73,의견나누기,영상보고 의견나누기
422,76,의견나누기,안건에 맞는 아이디어1개 이상 제안
440,78,의견나누기,안건에 맞는 아이디어1개 이상 제안
535,95,의견나누기,팀별(개인별)아이디어 회의
578,100,의견나누기,회의 주제 도출
608,105,의견나누기,라포형성과 의사소통에 대해서 이야기 나누기
609,105,의견나누기,영상보고 의견나누기
667,119,의견나누기,개인별 의견1회 이상 제안
668,119,의견나누기,개인별 아이디어1회 이상 제안
669,119,의견나누기,필요물품1개 이상 제시
740,132,의견나누기,레시피 의견 1회 이상 내기
792,144,의견나누기,전월 활동 평가하기
793,144,의견나누기,활동 아이디어1회 이상 제안하기
802,146,의견나누기,개인별 아이디어 1회 이상 제안하기
874,162,의견나누기,개인 당 1가지 이상 의견 제시하기
875,162,의견나누기,가을 버스킹 장소 의견내기
876,162,의견나누기,가을 버스킹 필요물품 논의하기
927,172,의견나누기,토론하기
1079,35,의견나누기,활동내용 피드백 듣기
1080,35,의견나누기,평가 설문지 작성하기
1133,53,의견나누기,동아리 활동 공유
1136,54,의견나누기,팀별로 구체적 실현 방안 논의하기
1138,55,의견나누기,점심 메뉴 정하기
1139,55,의견나누기,사회공헌활동장소 정하기
1140,55,의견나누기,전달물품 정하기
1157,61,의견나누기,손수건 활동 평가하기
1194,73,의견나누기,우리가 찾은 권리 의견나누기
1208,78,의견나누기,체험 프로그램 아이템 정하기
1209,78,의견나누기,아이템 운영방법 논의하기
1257,94,의견나누기,나눔 사업 의견 제시하기
1275,100,의견나누기,선거에 대한 의견 나누기 및 홍보방법 정하기
1360,129,의견나누기,비디오 시청 후 토론하기
1361,129,의견나누기,행복한 삶에 대해서 토론하기
1412,146,의견나누기,의견 나누기
1523,180,의견나누기,공모전 참가 의견나눔
1524,180,의견나누기,상영회 일정 의견나눔 및 마무리하기
1577,187,의견나누기,하고싶은 역할 의견말하기
1597,188,의견나누기,평화롭고 안전한 반을 만들기 위해 필요한 것 생각하고 말하기
1686,193,의견나누기,사회적경제 의견 나누기
1689,193,의견나누기,사회적경제 동영상보고 의견나누기
1992,226,의견나누기,7. 활동 퀴즈 참여하고 배운 내용 나누기
2047,223,의견나누기,실습에 관한 평가
2072,105,의견나누기,인터넷에 대한 의견나누기
2079,175,의견나누기,스프라이트를 친구들과 공유하기
2094,236,의견나누기,사진을 보면서 이야기 나누기
2095,236,의견나누기,노동에 대한 생각 나누기
2118,241,의견나누기,라포형성과 생각 열기 의견 나누기
2119,241,의견나누기,나의 온라인 생활 활동지 및 의견나누기
2120,241,의견나누기,미래 세상과 미래 교육에 대한 의견 나누기
2121,241,의견나누기,동영상 보고 의견 나누기
2183,94,의견나누기,구매 물품 후보 논의 (장갑)
2184,94,의견나누기,구매 물품 후보 논의 (양말)
2185,94,의견나누기,구매 물품 후보 논의 (디퓨저)
2186,94,의견나누기,구매 물품 후보 논의 (간식)
2188,241,의견나누기,미래교실과 협업에 대한 영상보고 의견나누기
2223,245,의견나누기,숨어버린 노동에 대한 이야기 나누기
2259,73,의견나누기,혐오표현에 대한 의견 나누기
2261,73,의견나누기,온라인 세상 속 의견 나누기
2265,73,의견나누기,온라인과 보호받을 권리 의견 나누기
2267,73,의견나누기,온라인과 보호받을 권리 인권 의견 나누기
2387,249,의견나누기,진로캠프 만족도 조사 실시
2431,259,의견나누기,친구들 평가하기
2456,263,의견나누기,숙제율에 따른 성취감 관찰
2458,264,의견나누기,과제확인
2465,264,의견나누기,과제설명과 확인
2478,268,의견나누기,피드백
2490,271,의견나누기,평가 및 마무리
2535,279,의견나누기,타그룹 평가하기
2542,280,의견나누기,학습지 검사하기
2556,283,의견나누기,숙제 확인
2567,285,의견나누기,과제확인
2569,285,의견나누기,본시 평가
2572,286,의견나누기,영어 단어 채점
2573,286,의견나누기,문법 시험
2574,286,의견나누기,재시험
2671,295,의견나누기,형성평가
2683,298,의견나누기,활동지 내용 공유하기
2699,295,의견나누기,형성평가2
2704,301,의견나누기,형성평가
2709,301,의견나누기,형성평가2
2727,303,의견나누기,형성펑가
2770,303,의견나누기,형성펑가2
2776,314,의견나누기,형성평가
2783,318,의견나누기,피드백 내용 토론하기
2788,94,의견나누기,"나눔활동(시간, 장소)정하기"
2789,94,의견나누기,"나눔활동(간식, 선물) 정하기"
2790,94,의견나누기,전화멘트 토의하기
2793,94,의견나누기,신규 청운위 모집방법 논의하기
2795,55,의견나누기,은가비실 꾸미기 논의하기
2873,307,의견나누기,"<훈민정음어제서문>, <용비어천가> 문법 분석 테스트"
2960,324,의견나누기,인터뷰 답변하기 및 피드백 경청1
2961,324,의견나누기,인터뷰 답변하기 및 피드백 경청2
2962,324,의견나누기,인터뷰 답변하기 및 피드백 경청3
2963,324,의견나누기,인터뷰 답변하기 및 피드백 경청 4
3265,373,의견나누기,생활수칙 자유롭게 말하기
3269,373,의견나누기,글자수 단어 자유롭게 이야기 하기
