program_id,program_name,program_category,school_type,subject_concept
61,오감만족 생태체험,시민역량,초등,190
73,평화학교(중등),시민역량,중등,"159,161"
99,환경탐험대 플라스틱 노노,시민역량,초등,"132,138,276"
116,청소년생태탐사단 『수피아』,시민역량,중등,"132,138,276"
118,환경탐험대 제로웨이스트,시민역량,중등,"132,138,276"
129,생태환경보호 『그린네트워크』,시민역량,고등,"132,138,276"
187,미래교육 프로그램(도시생태),시민역량,초등,"129,134"
193,다가치 사회적 경제,시민역량,중등,"115,116"
217,판교-청소년방과후아카데미(방과후기획단),시민역량,초등,"109,110"
226,미래교육 프로그램(도시생태) [성수초],시민역량,초등,"129,134"
236,(1학년) 청소년노동인권교육 Right! Rights!,시민역량,고등,"159,161"
243,수정-초등방과후아카데미(사회성향상),시민역량,초등,"120,275"
245,(2학년) 청소년노동인권교육 Right! Rights!,시민역량,고등,"159,161"
343,(용인웨신) 인성교육: 사회적 규칙,시민역량,초등,273
380,풋 유어 핸즈 업(업사이클링),시민역량,초등,"227,228"
425,(용인웨신) 사회적 규칙,시민역량,초등,"120,275"
