program_id,program_name,program_category,school_type,subject_concept
1,모두 다 같이 꿈의 학교,진로탐색,고등,"274,275"
4,청바지 프로젝트(중원),진로탐색,중등,
44,꾸미담,진로탐색,초등,
45,고교학점제 맞춤형 클러스터,진로탐색,고등,
62,보이스성남,진로탐색,중등,
69,청소년진로직업체험『코끼리』,진로탐색,중등,286
132,판교대학 직업탐색학과,진로탐색,고등,286
168,중등방과후아카데미 해다미 (자격증과정),진로탐색,중등,
179,자유학기제 내 꿈 디자인하기,진로탐색,중등,286
186,청바지 프로젝트(정자),진로탐색,중등,
246,내 꿈 디자인하기(청솔중),진로탐색,중등,286
247,내 꿈 디자인하기,진로탐색,중등,286
249,2021 진로캠프,진로탐색,고등,286
258,(창의수업) 경제와 금융 창업 꿈의 학교(3시간),진로탐색,초등,"115,116"
300,(KoGr) 진로특강,진로탐색,초등,286
313,(창의수업) 경제와 금융 창업 꿈의 학교(2시간),진로탐색,중등,"115,116"
421,디딤돌 직업체험(1학년),진로탐색,중등,286
422,디딤돌 진로코칭(2학년),진로탐색,중등,286
423,디딤돌 진로코칭(3학년),진로탐색,중등,286
443,(안용중학교) 진로와직업 1학년,진로탐색,중등,286
448,교육공동체(수진중),진로탐색,중등,"120,274,275"
