program_id,program_name,program_category,school_type,subject_concept
10,초등방과후아카데미(역사),학습지원,초등,140
12,초등방과후아카데미(학습멘토),학습지원,초등,"274,275"
24,중등방과후아카데미(수학교과수업),학습지원,중등,"85,86"
79,수정-초등방과후아카데미(역사),학습지원,초등,140
86,온&온 성남형학습지원,학습지원,초등,
92,방과후아카데미(교과수업),학습지원,초등,
109,청소년방과후아카데미(교과학습),학습지원,초등,
141,청소년방과후아카데미 유레카 (교과활동),학습지원,초등,
149,야탑-온&온 학습지원,학습지원,초등,
166,중등방과후아카데미 해다미 (교과수업),학습지원,중등,
195,수정-초등방과후아카데미(수학),학습지원,초등,"85,86"
199,수정-중등방과후아카데미(수학),학습지원,중등,"85,86"
202,정자-방과후아카데미(수학),학습지원,초등,"85,86"
203,정자-방과후아카데미(영어),학습지원,초등,"37,40"
204,정자-방과후아카데미(역사),학습지원,초등,140
205,정자-방과후아카데미(논술),학습지원,초등,"19,20"
206,판교-청소년방과후아카데미(수학),학습지원,초등,"85,86"
209,판교-청소년방과후아카데미(역사),학습지원,초등,140
213,야탑-청소년방과후아카데미 유레카(영어),학습지원,초등,"37,40"
214,야탑-청소년방과후아카데미 유레카(수학),학습지원,초등,"85,86"
229,은행-중등방과후아카데미 해다미(수학),학습지원,중등,"85,86"
234,수정-초등방과후아카데미(영어),학습지원,초등,"37,40"
244,은행-중등방과후아카데미 해다미(영어),학습지원,중등,"37,40"
252,(평생교육) 독서논술 야탑(1~2학년),학습지원,초등,"13,14,20"
253,(평생교육) 독서논술 야탑(2~3학년),학습지원,초등,"13,14,20"
254,(평생교육) 독서논술 야탑(4~6학년),학습지원,초등,"13,14,20"
256,(평생교육) 한국사,학습지원,초등,140
263,(창의수업) 영어단어와문장의이해,학습지원,초등,"37,40"
264,(창의수업) 수학아카데미,학습지원,초등,"85,86"
268,(창의수업) 초등수학지도,학습지원,초등,"85,86"
280,(창의수업) 한문교과수업,학습지원,중등,"293,294"
283,(창의수업) 영어수업,학습지원,중등,"37,40"
285,(창의수업) 방과후한자교실,학습지원,초등,"293,294"
286,(창의수업) 영어학원클리닉,학습지원,중등,"37,40"
295,(창의수업) 입체도형-기둥,학습지원,중등,"87,88"
301,(창의수업) 입체도형-뿔,학습지원,중등,"87,88"
302,(창의수업) 입체도형-구,학습지원,중등,"87,88"
303,(창의수업) 입체도형-회전체,학습지원,중등,"87,88"
304,(평생교육) 주산과 함께하는 놀이수학(초1),학습지원,초등,"85,86"
305,"(평생교육) 주산과 함께하는 놀이수학(초2,3)",학습지원,초등,"85,86"
306,(창의수업) 통계,학습지원,중등,"101,102"
307,(창의수업) 고1 국어,학습지원,고등,"1,8,15"
308,(창의수업) 중1 국어,학습지원,중등,"1,8,15"
311,(창의수업) 고3 국어,학습지원,고등,"1,8,15"
314,(창의수업) 입체도형-다면체,학습지원,중등,"87,88"
315,(창의수업) 중3 국어,학습지원,중등,"1,8,15"
319,(창의수업) 중2 국어,학습지원,중등,"1,8,15"
325,만안-방과후아카데미,학습지원,초등,
334,(평생교육) 초등학교 영어회화,학습지원,초등,"37,40"
345,석수-방과후아카데미,학습지원,중등,
401,(창의수업) 완전국어,학습지원,초등,"1,8,15"
402,(창의수업) 연산수학반,학습지원,초등,"85,86"
403,(창의수업) 영어문법반,학습지원,초등,"40,48"
404,(창의수업) 생활한자반,학습지원,초등,"293,294"
405,(창의수업) 교과과학반,학습지원,초등,"165,175"
410,(안용중학교) 한문 3학년,학습지원,중등,"293,294"
411,(안용중학교) 한문 2학년,학습지원,중등,"293,294"
429,(창의수업) 창의 수학,학습지원,초등,"85,86"
431,(안용중학교) 음악 3학년,학습지원,중등,"210,215"
432,(안용중학교) 수학 1학년,학습지원,중등,"85,86"
433,(안용중학교) 수학 2학년,학습지원,중등,"85,86"
434,(안용중학교) 기술가정 1학년,학습지원,중등,"283,287"
435,(안용중학교) 국어 2학년,학습지원,중등,"1,8,15"
436,(안용중학교) 과학 3학년,학습지원,중등,"165,175"
437,(안용중학교) 수학 3학년,학습지원,중등,"85,86"
440,(창의수업) 영어,학습지원,초등,"37,40"
441,(창의수업) 수학,학습지원,초등,"85,86"
442,(안용중학교) 국어 1학년,학습지원,중등,"1,8,15"
444,(안용중학교) 과학 2학년,학습지원,중등,"165,175"
445,(안용중학교) 정보 1학년,학습지원,중등,"298,302"
446,(창의수업) 우주항공과학반,학습지원,초등,"197,198"
451,방과후아카데미(정자),학습지원,초등,
