concept_id,subject,subject_concept
109,사회(초·중),민주주의와 국가
110,사회(초·중),정치과정과 제도
111,사회(초·중),국제 정치
112,사회(초·중),헌법과 우리 생활
113,사회(초·중),개인 생활과 법
114,사회(초·중),사회생활과 법
115,사회(초·중),경제생활과 선택
116,사회(초·중),시장과 자원 배분 
117,사회(초·중),국가 경제
118,사회(초·중),세계 경제
119,사회(초·중),연구 방법
120,사회(초·중),개인과 사회
121,사회(초·중),문화
122,사회(초·중),사회 계층과 불평등
123,사회(초·중),현대의 사회 변동
124,사회(초·중),지리적 속성
125,사회(초·중),공간 분석
126,사회(초·중),지리 사상
127,사회(초·중),장소
128,사회(초·중),지역
129,사회(초·중),공간관계
130,사회(초·중),기후 환경
131,사회(초·중),지형 환경
132,사회(초·중),자연 - 인간 상호작용
133,사회(초·중),인구의 지리적 특성
134,사회(초·중),생활공간의 체계
135,사회(초·중),경제활동의 지역구조
136,사회(초·중),문화의 공간적 다양성
137,사회(초·중),갈등과 불균등의 세계
138,사회(초·중),지속가능한 환경
139,사회(초·중),공존의 세계
140,사회(초·중),역사의 의미
141,사회(초·중),선사시대와 고조선의 등장
142,사회(초·중),여러 나라의 성장
143,사회(초·중),삼국의 성장과 통일
144,사회(초·중),통일신라와 발해
145,사회(초·중),고려 문벌귀족사회의 형성과 변화
146,사회(초·중),조선의 건국과 유교 문화의 성숙
147,사회(초·중),전란과 조선 후기 사회의 변동
148,사회(초·중),개항과 개화파
149,사회(초·중),일제 식민 지배와 광복을 위한 노력
150,사회(초·중),대한민국의 발전
151,사회(초·중),대한민국의 미래
152,사회(초·중),신분제의 변화
153,사회(초·중),경제적 변동
154,사회(초·중),가족 제도
155,사회(초·중),전통문화
