mission_id,program_id,mission_category,mission_name
2,1,공연/대회,공정무역 캠페인 부스 운영 완료
1134,53,공연/대회,공연 및 관람
1930,225,공연/대회,학교 이념 및 자기소개
1931,225,공연/대회,학교 학과 소개
1932,225,공연/대회,졸업 후 진로 홍보
1933,225,공연/대회,홍보물 전시 및 활동
3388,146,공연/대회,환경캠페인 부스운영1
3389,146,공연/대회,환경캠페인 부스운영2
3390,146,공연/대회,환경캠페인 부스운영3
3391,146,공연/대회,환경캠페인 부스운영4
3706,46,공연/대회,공연1
3707,46,공연/대회,공연2
3712,46,공연/대회,공연
3937,52,공연/대회,해단식1
3938,52,공연/대회,해단식2
3939,52,공연/대회,해단식3
3940,52,공연/대회,해단식4
3941,52,공연/대회,해단식5
3942,52,공연/대회,해단식6
3943,52,공연/대회,해단식7
4040,52,공연/대회,단체사진촬영 및 마무리하기
