mission_id,program_id,mission_category,mission_name
3,1,실습/연습,발표회 준비 업무분장에 따른 브이로그 제작
4,1,실습/연습,바리스타 체험을 통한 1개 커피 만들기
7,2,실습/연습,개인별 콘텐츠 1건 완료
8,2,실습/연습,수행과제 완료
35,7,실습/연습,심폐소생술 이론 이해하기
51,10,실습/연습,역사 속 인물과 시대상을 매칭하고 스토리텔링
59,13,실습/연습,"데칼코마니, 콜라주, 스크래치, 모자이크 등으로 표현"
127,26,실습/연습,손에 익을 수 있게 POP 연습하기
202,36,실습/연습,자신이 좋아하는 문구를 정해 캘리 그라피 해보기
203,36,실습/연습,배운 캘리그라피를 활용해서 작품 만들기
204,36,실습/연습,자신만의 그림을 그린 부채 만들기
205,36,실습/연습,스칸다아모스를 활용해 작품 만들기
206,36,실습/연습,프리져버드로 액자 꾸미기
207,36,실습/연습,프로스 펜의 특성을 이해하고 수채화 그리기
216,38,실습/연습,송편만들기
217,38,실습/연습,윷놀이 하기
218,38,실습/연습,친구와 협동하여 컵 쌓기 활동하기
220,38,실습/연습,퀴즈문제를 풀어 미션을 통과하기
221,38,실습/연습,독서를 1권 이상 한 후 게임에 참여하기
232,41,실습/연습,1교시 준비
233,41,실습/연습,1교시 도입
237,42,실습/연습,활동지 작성과 선별제출활동 하기
238,42,실습/연습,감정카드 펼쳐놓고 관찰하기
239,42,실습/연습,단어를 듣고 감정카드를 고르고 자신의 감정 표현하기
246,44,실습/연습,꾸미담 소개 영상 시청하기
247,44,실습/연습,"나의 흥미, 나의 강점 활동지 작성하기"
251,46,실습/연습,뮤지컬 겨울왕국 배역정하기 준비
252,46,실습/연습,뮤지컬 겨울왕국 배역정하기 도입
253,46,실습/연습,뮤지컬 겨울왕국 배역정하기 전개
254,46,실습/연습,뮤지컬 겨울왕국 배역정하기 정리
255,46,실습/연습,배역에 따른 노래 연습하기 준비
259,48,실습/연습,목재 조립을 통해 나만의 상자 완성
270,50,실습/연습,체험활동1
271,50,실습/연습,체험활동2
272,50,실습/연습,동화책 읽어보기
297,54,실습/연습,위원회 회의 내용 보고하기
299,54,실습/연습,TF팀 회의 내용 보고하기
339,61,실습/연습,영상 시청하기
340,61,실습/연습,단풍 씨앗 만들기
341,61,실습/연습,야외 체험 준비하기
344,61,실습/연습,나무 목걸이 만들기
345,62,실습/연습,1교시
346,62,실습/연습,2교시 도입
347,62,실습/연습,2교시 전개
348,62,실습/연습,2교시 정리
349,62,실습/연습,3교시 도입
350,62,실습/연습,3교시 전개
351,62,실습/연습,3교시 정리
370,66,실습/연습,데이터 분석 체험하기
385,69,실습/연습,1교시 도입
386,69,실습/연습,1교시 전개
387,69,실습/연습,1교시 정리
388,69,실습/연습,2교시 도입
389,69,실습/연습,2교시 전개
390,69,실습/연습,2교시 정리
404,71,실습/연습,1교시 준비
405,71,실습/연습,1교시 도입
406,71,실습/연습,1교시 전개
411,73,실습/연습,라포형성과 물고기 그리기
415,74,실습/연습,데이터 분석 체험하기(워드클라우드)
423,76,실습/연습,"청소년 회의록,일지 작성"
441,78,실습/연습,"청소년 회의록,일지 작성"
466,85,실습/연습,드론준비상태 확인 및 시행운전
467,85,실습/연습,비행지점까지 비행하기
468,85,실습/연습,드론장애물 통과하기
469,85,실습/연습,3개 드론장애물통과와 반시계방항 운전하기
470,85,실습/연습,여분미션4
474,86,실습/연습,목표에 도전하고 완료 하였을시 성공
476,86,실습/연습,주차별 달성 스케쥴 관리
537,95,실습/연습,시나리오 및 리스트 작성
538,95,실습/연습,회의록 정리
569,99,실습/연습,분리배출 실습하기
571,99,실습/연습,샴푸바 재료 혼합 실습하기
572,99,실습/연습,샴푸바 모양만들기 및 포장하기
598,102,실습/연습,일정안내
599,102,실습/연습,시나리오작성
600,102,실습/연습,카메라 촬영법 습득
601,102,실습/연습,영상제작
602,102,실습/연습,영상편집법 습득
603,102,실습/연습,영상 감상
606,104,실습/연습,1교시 도입
607,104,실습/연습,1교시 전개
611,105,실습/연습,활동지 작성과 선별제출활동 하기
