program_id,program_name,program_category,school_type,subject_concept
2,청소년크리에이터 다옴,창의체험,중등,"226,227"
13,초등방과후아카데미(미술),창의체험,초등,"227,228"
25,중등방과후아카데미(창의연극),창의체험,중등,"29,30"
26,중등방과후아카데미(미술공예),창의체험,중등,"226,227"
36,온&온 성남형위기지원사업(토탈공예),창의체험,초등,"226,227"
38,온&온 성남형위기지원사업(실내공동체 놀이),창의체험,초등,"274,275"
40,중원창작공방,창의체험,초등,"226,227"
41,수련관으로 등교하자,창의체험,중등,
48,학교연계『내멋대로목공방』,창의체험,초등,"226,227"
49,청소년크리에이터『다옴』,창의체험,중등,"226,227"
87,북세통-살아있는 숲속의 도서관,창의체험,초등,"29,30"
91,방과후아카데미(창의융합),창의체험,초등,
102,공공청소년프로그램운영지원,창의체험,초등,"109,110"
108,학교단위 목공,창의체험,초등,"226,227"
110,청소년방과후아카데미(주중전문),창의체험,초등,
117,교육공동체사업(불곡초),창의체험,초등,"120,274,275"
138,사용하지 않는 프로그램,창의체험,초등,
142,청소년방과후아카데미 유레카 (체육활동),창의체험,초등,"237,238"
152,학교 밖 청소년 문화활동 지원사업(사진),창의체험,고등,"120,121"
157,자기계발-예체능프로그램(배드민턴),창의체험,중등,"238,243"
167,"중등방과후아카데미 해다미 (주중체험-모둠북,통기타,캘리그라피)",창의체험,중등,"210,226"
178,모두다가치 꿈의학교,창의체험,고등,"274,275"
208,판교-청소년방과후아카데미(생활체육),창의체험,초등,"237,238"
210,판교-청소년방과후아카데미(방송댄스),창의체험,초등,"239,240"
211,판교-청소년방과후아카데미(보드게임),창의체험,초등,"246,247"
212,판교-청소년방과후아카데미(미술),창의체험,초등,"226,227"
218,은행-중등방과후아카데미 해다미(모둠북),창의체험,중등,227
219,은행-중등방과후아카데미 해다미(캘리그라피),창의체험,중등,226
220,은행-중등방과후아카데미 해다미(통기타),창의체험,중등,215
221,은행-중등방과후아카데미 해다미(홈베이킹),창의체험,중등,283
223,은행-중등방과후아카데미 해다미(바리스타),창의체험,중등,283
224,은행-중등방과후아카데미 해다미(한식조리기능사),창의체험,중등,283
227,야탑-청소년방과후아카데미 유레카(과학),창의체험,초등,"165,175"
228,창의융합 미래교육 프로그램(초5),창의체험,초등,291
231,야탑-청소년방과후아카데미 유레카(체육활동),창의체험,초등,"237,238"
233,내멋대로 목공방,창의체험,초등,"226,227"
237,수정-초등방과후아카데미(미술),창의체험,초등,"227,228"
238,수정-초등방과후아카데미(창의연극),창의체험,초등,"29,30"
239,수정-초등방과후아카데미(악기연주),창의체험,초등,"210,215"
240,자기계발-예체능프로그램(탁구),창의체험,초등,"238,247"
241,미래교육 프로그램(미래교실),창의체험,초등,291
242,목공수업,창의체험,초등,"226,227"
248,미래교육 TOP STAR,창의체험,초등,291
250,(평생교육) 레고반,창의체험,초등,"226,227"
251,(평생교육) 레고닥타,창의체험,초등,"226,227"
257,(창의수업) 다중지능 보드게임,창의체험,초등,"239,247"
259,(평생교육) 어린이 성악,창의체험,초등,"210,215"
261,(창의수업) 돌봄 체스교실,창의체험,초등,"239,247"
262,(창의수업) 영어팝송 익히기,창의체험,초등,"36,37,214"
269,(창의수업) 창의 보드게임,창의체험,초등,"239,247"
270,(창의수업) 다중지능 보드게임12,창의체험,초등,"239,247"
271,(창의수업) 꿈의학교,창의체험,초등,"274,275"
272,(창의수업) 보드게임,창의체험,초등,"239,247"
273,(창의수업) 보드게임 수업,창의체험,초등,"239,247"
274,(창의수업) 다중지능 보드게임15,창의체험,초등,"239,247"
278,(창의수업) 바이올린18,창의체험,초등,"210,215"
279,(창의수업) 실용경제수업,창의체험,고등,"115,116"
281,(창의수업) 공예,창의체험,초등,"226,227"
282,(창의수업) 바이올린17,창의체험,초등,"210,215"
287,(창의수업) 방과후농구교실 1차시,창의체험,초등,"238,247"
288,(창의수업) 방과후농구교실 2차시,창의체험,초등,"238,247"
289,(창의수업) 방과후농구교실 3차시,창의체험,초등,"238,247"
290,(창의수업) 방과후농구교실 4차시,창의체험,초등,"238,247"
291,(창의수업) 방과후농구교실 5차시,창의체험,초등,"238,247"
292,(창의수업) 방과후농구교실 6차시,창의체험,초등,"238,247"
294,(창의수업) 돌봄 체스교실11,창의체험,초등,"239,247"
298,(창의수업) 독서 보드게임 교실,창의체험,초등,"239,247"
317,(평생교육) 뎃생수채화(야탑),창의체험,초등,"226,227"
328,(창의수업) 돌봄 교실 체스 활동,창의체험,초등,"239,247"
330,(평생교육) 헬로칼림바A,창의체험,초등,"210,215"
373,(창의수업) 돌봄활동 30-1,창의체험,초등,
374,(창의수업) 돌봄활동 30-3,창의체험,초등,
375,(창의수업) 돌봄활동 30-2,창의체험,초등,
379,풋 유어 핸즈 업(요리),창의체험,초등,283
381,풋 유어 핸즈 업(미디어 브이로그),창의체험,초등,"10,121"
382,풋 유어 핸즈 업(난타),창의체험,초등,"210,215"
395,(평생교육) 창작만화,창의체험,초등,"226,227"
396,(평생교육) 포크기타 A반,창의체험,초등,"210,215"
399,"과학, 수학 융합학습 프로그램(천체탐구)",창의체험,초등,"85,86"
406,(창의수업) 항공과학반,창의체험,초등,"165,175"
416,"과학, 수학 융합 학습 프로그램(수학 탐구)",창의체험,초등,"85,86"
418,"과학, 수학 융합 학습 프로그램(과학 탐구)",창의체험,초등,"165,175"
420,풋징어게임,창의체험,초등,
427,(안용중학교) 사회 1학년,창의체험,중등,"120,121"
428,(안용중학교) 과학 1학년,창의체험,중등,"165,175"
430,(창의수업) 즐거운 보드게임,창의체험,초등,"246,247"
439,풋 유어 핸즈 업(찬찬찬 레크레이션),창의체험,초등,"246,247"
449,(안용중학교) 자유학기 주제선택 1학년,창의체험,중등,
450,(안용중학교) 체육 2학년,창의체험,중등,"237,238"
454,청소년안전망(달라서좋아),창의체험,초등,"120,121"
